,Drug1,Drug2
0,N01A,R03D
1,J01X,J01D
2,N04A,L02B
3,M01A,N05C
4,C07A,C09C
5,N05C,N06A
6,N03A,J04A
7,L01B,J05A
8,D05A,M01A
9,M03B,N05A
10,J01A,C01B
11,N05C,C10A
12,C01B,C07A
13,N05C,M04A
14,L01D,R06A
15,S01E,J01D
16,S01E,B01A
17,L02A,M04A
18,S01E,A02B
19,C09A,L01X
20,N06A,L04A
21,L04A,C08C
22,H03A,B01A
23,N06A,N03A
24,M01A,M04A
25,L01C,A02B
26,N02A,C09A
27,N02A,A02B
28,C09A,C09X
29,N05C,R01A
30,N05C,A06A
31,C09A,J01X
32,J01D,M04A
33,C09A,N05C
34,C08D,M05B
35,C08D,N05A
36,N05B,A07E
37,A10B,C10A
38,L01X,L01A
39,C08C,S01A
40,M05B,L01X
41,M03A,A10B
42,L01B,L01B
43,N02A,C09C
44,M05B,C09C
45,M05B,J01X
46,S01E,C01D
47,N03A,R03D
48,J01D,C09A
49,C09C,D11A
50,C03C,J05A
51,C08D,C01D
52,J05A,R01A
53,N05B,J02A
54,L01X,L01C
55,P01A,L01X
56,H02A,M05B
57,C07A,R03D
58,C01B,C08D
59,C09C,C07A
60,N05A,L02A
61,L01C,B01A
62,C08C,A10B
63,J05A,G04C
64,J02A,M04A
65,C08D,N01A
66,L02A,R06A
67,N02A,R06A
68,A02B,N03A
69,A02B,S01E
70,C09A,L01C
71,L01X,C09C
72,S01E,C10A
73,M05B,H05B
74,N05B,J05A
75,N06A,J05A
76,B03B,R01A
77,C07A,C09X
78,P01A,N06A
79,N02C,L01X
80,L01A,C08D
81,C09A,D11A
82,C09C,C03D
83,N05B,L01X
84,C01E,C07A
85,R01A,C01D
86,M02A,M01A
87,N02A,R06A
88,N05B,N06A
89,N05B,D11A
90,N06B,N06B
91,B03B,A02B
92,C08D,C02C
93,C08D,N06A
94,C07A,C08C
95,J01D,J01D
96,N02A,C01D
97,H03A,C05A
98,J02A,G04C
99,J01D,A04A
100,J01D,A02B
101,J01D,J01D
102,J01D,M01A
103,A03B,N02A
104,N06A,H05B
105,N06A,N05C
106,J01X,R06A
107,C09A,A04A
108,L04A,G04C
109,A03B,N02A
110,M01A,S01E
111,J05A,S01A
112,J05A,A02B
113,C01B,H02A
114,N02A,M02A
115,C01B,N03A
116,G04C,N04B
117,C09A,N06D
118,J01D,A02B
119,J01D,C09A
120,V03A,S01A
121,C09A,N02A
122,N02B,H01C
123,C01D,H05B
124,N06D,R01A
125,R06A,H01C
126,J04A,J02A
127,D10A,C08C
128,M01A,N04B
129,C08C,A02B
130,B05C,H02A
131,B01A,G03X
132,B01A,A02B
133,N05B,B01A
134,C09A,C09C
135,N06A,A10B
136,N03A,J05A
137,B01A,R06A
138,S01A,J01F
139,B01A,N02C
140,C01E,J05A
141,J02A,M03B
142,C10A,C01C
143,J01D,J05A
144,M03B,C10A
145,C03D,N03A
146,M03B,R03D
147,J05A,J01F
148,N03A,C03A
149,V03A,H05B
150,A10B,G04B
151,L01B,L02B
152,N05A,A10B
153,J05A,N03A
154,J05A,J05A
155,A07D,C07A
156,R03D,L01X
157,N05A,N02C
158,C08C,C03B
159,J02A,J05A
160,R03A,D01A
161,J02A,R03A
162,A05A,J01F
163,A05A,P01A
164,B05C,A01A
165,N02A,C09A
166,B05C,M02A
167,R03D,C01D
168,B05C,M04A
169,N05A,N05C
170,R01A,J05A
171,C10A,N05C
172,C01D,L01X
173,M05B,L04A
174,C08D,N03A
175,L01B,B03B
176,J01D,B03B
177,C08D,H02A
178,B01A,A04A
179,R03A,A02B
180,N06D,C09A
181,R03A,J02A
182,R03A,L01B
183,C01E,N02A
184,N02C,M05B
185,P01B,N05C
186,J02A,J01C
187,H02A,H05B
188,C09C,L01D
189,C07A,M02A
190,C10A,R01A
191,C07A,N06A
192,N02C,C10A
193,N01A,C03C
194,C07A,H02A
195,C07A,N03A
196,C09C,J05A
197,J01A,H02A
198,J01A,N06B
199,B01A,A07E
200,R06A,N05A
201,A02B,L01A
202,R06A,J05A
203,A10B,S01A
204,H02A,P01A
205,C09C,C10A
206,C01B,M02A
207,C09C,C09C
208,R06A,A05A
209,M05B,P01B
210,M05B,N05B
211,M05B,D08A
212,C07A,H03B
213,L02A,C09A
214,L04A,J01A
215,B01A,N01A
216,C10A,N07B
217,L04A,C09A
218,C09C,S01A
219,J01A,R03A
220,N03A,C09C
221,C09C,D10A
222,M03B,G04B
223,A10B,L01X
224,J01D,A02B
225,J05A,D06B
226,D01A,A03F
227,C03A,C09A
228,N03A,G04B
229,C03A,L01A
230,D10A,M03A
231,M02A,C09A
232,M02A,A02B
233,C03A,N05C
234,G04B,M02A
235,C10A,C08C
236,C10A,N06A
237,M02A,G03X
238,L01X,A02B
239,L01X,A04A
240,C01B,P01A
241,C01B,C03B
242,C01B,C07A
243,C03B,A02B
244,S01E,C09A
245,S01E,N03A
246,S01A,N05C
247,C09A,C10A
248,M01A,G04B
249,S01A,J01D
250,N05B,C03C
251,M01A,N05A
252,L01X,L02A
253,A10B,M01A
254,N05B,J01D
255,C07A,A06A
256,J01D,J05A
257,J01D,A05A
258,S01E,H02A
259,V03A,N06A
260,L01D,A10B
261,C02A,P01A
262,N05B,G04B
263,N02A,N03A
264,G04B,A02B
265,C09A,J05A
266,A04A,A04A
267,L04A,L04A
268,J05A,R03D
269,N03A,M02A
270,N03A,A01A
271,J04A,N05C
272,J01D,C10A
273,C10A,J01D
274,H03A,R01A
275,N02A,L02A
276,N05B,N03A
277,M02A,C01E
278,C09A,N05A
279,D11A,M03A
280,R06A,M01A
281,L01B,M04A
282,C03C,A07E
283,A10B,A06A
284,L01D,A02B
285,L01D,A04A
286,M05B,N05C
287,J01D,L04A
288,N02C,J01F
289,C04A,R03D
290,M05B,L01A
291,G04C,A02B
292,C07A,M04A
293,C09A,N05C
294,C09A,L01C
295,L01A,L01X
296,A02B,H05B
297,C08D,M04A
298,C01D,J05A
299,R06A,N04A
300,J02A,R01A
301,L04A,N05C
302,L04A,N03A
303,L04A,N05C
304,L04A,N02C
305,J04A,M04A
306,N03A,M01A
307,R06A,D10A
308,B01A,B01A
309,N01A,N01A
310,R03D,C09C
311,M01A,A03F
312,A04A,M04A
313,N03A,J01X
314,C09C,L01X
315,N03A,N06A
316,R01A,J01X
317,M03B,M05B
318,B05C,N01A
319,N03A,N05C
320,B01A,S01A
321,S01E,A03B
322,L01X,H01C
323,M02A,C09C
324,A02B,A04A
325,R01A,L01D
326,A02B,J04A
327,D01A,C08C
328,J05A,A07D
329,V03A,C09A
330,N06D,C07A
331,A02B,J05A
332,R01A,M05B
333,A10B,N01A
334,A10B,C07A
335,C03C,J01F
336,A10B,L01C
337,N03A,J01E
338,L01B,C03C
339,C03D,A10B
340,A02B,N03A
341,L02A,L02B
342,S01E,N07B
343,N03A,N04A
344,G04C,N05C
345,N03A,L01D
346,M05B,L01C
347,B03B,J01A
348,A02B,L01X
349,C03C,P01B
350,N01A,L01X
351,V03A,J01D
352,V03A,J01D
353,M01A,C07A
354,S01E,S01E
355,A10B,N05C
356,V03A,J01D
357,C10A,B01A
358,M01A,S01A
359,M01A,M05B
360,H03A,C03B
361,H03A,M03B
362,S01E,N06A
363,C10A,L01X
364,A02B,N03A
365,H03A,N01A
366,G04C,L01X
367,N05A,C01E
368,C10A,D07A
369,C07A,D11A
370,C09C,J05A
371,N05B,A10B
372,N05B,N06A
373,N05B,J01F
374,N03A,L01C
375,J02A,C05A
376,L01X,C10A
377,A04A,C10A
378,C10A,N06D
379,N05B,H02A
380,N07B,J01X
381,P01B,B01A
382,G04B,G04B
383,C10A,J01X
384,C10A,C09C
385,R01A,M01A
386,V03A,C10A
387,R01A,J01D
388,C08C,J05A
389,A03A,M01A
390,M01A,H02A
391,J01F,N03A
392,B03B,G04C
393,A02B,C10A
394,B03B,D01A
395,L01X,C01D
396,L04A,G04B
397,C03D,A06A
398,H02A,V03A
399,N05C,C09A
400,N05C,B05C
401,N05C,P01A
402,N05C,C07A
403,C01E,N05C
404,H02A,N05C
405,N06D,C07A
406,C09A,S01A
407,R06A,A10B
408,S01A,J01D
409,N05B,C09C
410,N05B,C10A
411,V03A,R06A
412,B01A,C01B
413,G04C,A06A
414,H03A,V03A
415,A07D,C05A
416,H03A,N02C
417,C10A,S01A
418,N06B,N05C
419,N06D,C03B
420,S01E,R03A
421,D10A,N06A
422,J05A,D06B
423,M01A,C07A
424,N06A,R06A
425,N06A,N06A
426,C02C,L02B
427,J05A,N06A
428,J05A,C10A
429,C10A,C10A
430,C08C,N06D
431,B01A,D07A
432,S01E,L02A
433,C10A,R06A
434,C10A,A04A
435,C02C,S01A
436,N02C,B01A
437,N02B,N05B
438,N06A,B03B
439,N06A,C10A
440,S01A,C05A
441,C07A,C08C
